time_pt,ticker,type,status,score,1h_ret_pct,4h_ret_pct,eod_ret_pct
09:05 PT,CIFR,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,3.58,8.56,9.19
09:20 PT,CIFR,CALL,TRIGGER_PULLBACK_CONFIRMED,43.4,3.58,8.56,9.19
06:38 PT,AXTI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,3.63,6.46,7.00
10:34 PT,CAR,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,3.85,6.09,
09:05 PT,WULF,CALL,REJECTED_LOW_SCORE,31.9,0.59,4.44,4.81
08:39 PT,CRDO,UNKNOWN,REJECTED_NO_FLOW,0.0,1.58,5.45,4.64
10:41 PT,CIFR,UNKNOWN,REJECTED_BID_SIDE,0.0,1.58,4.51,
10:55 PT,CIFR,UNKNOWN,REJECTED_NO_FLOW,0.0,1.58,4.51,
08:39 PT,CAR,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.31,3.76,4.19
10:34 PT,WULF,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,1.14,3.90,
08:13 PT,COIN,PUT,REJECTED_LOW_SCORE,20.3,0.06,3.09,3.04
08:13 PT,USO,UNKNOWN,REJECTED_BID_SIDE,0.0,0.26,2.44,2.89
08:21 PT,USO,UNKNOWN,REJECTED_NO_FLOW,0.0,0.26,2.44,2.89
08:56 PT,USO,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.26,2.44,2.89
08:21 PT,SNDK,UNKNOWN,REJECTED_NO_FLOW,0.0,1.38,3.73,2.88
08:47 PT,SNDK,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,1.38,3.73,2.88
06:32 PT,SOXL,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,1.21,1.88,2.85
07:01 PT,AAOI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.78,2.38,2.66
07:06 PT,AAOI,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.78,2.38,2.66
09:05 PT,BE,CALL,REJECTED_LOW_SCORE,31.5,-0.09,2.63,2.61
09:20 PT,BE,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.09,2.63,2.61
08:47 PT,ASTS,PUT,REJECTED_LOW_SCORE,21.7,1.39,3.29,2.48
07:18 PT,HOOD,PUT,REJECTED_LOW_SCORE,18.4,0.44,1.89,2.16
08:21 PT,IONQ,UNKNOWN,REJECTED_NO_FLOW,0.0,0.36,3.41,2.00
06:49 PT,SLV,PUT,REJECTED_LOW_SCORE,18.4,-0.38,0.71,1.88
07:25 PT,MSFT,PUT,REJECTED_LOW_SCORE,7.5,0.44,1.95,1.76
18:16 PT,TSLA,UNKNOWN,REJECTED_BID_SIDE,0.0,3.15,2.06,1.65
20:16 PT,TSLA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,3.15,2.06,1.65
06:43 PT,TSLA,CALL,REJECTED_LOW_SCORE,33.7,3.15,2.06,1.65
06:43 PT,GOOG,UNKNOWN,REJECTED_BID_SIDE,0.0,0.06,1.19,1.48
11:12 PT,RKLB,PUT,REJECTED_LOW_SCORE,20.4,0.99,1.46,
09:13 PT,ORCL,PUT,REJECTED_LOW_SCORE,26.0,1.01,1.22,1.45
11:20 PT,HIMS,UNKNOWN,REJECTED_NO_FLOW,0.0,2.20,1.42,
